,FUNCION,VACIO,PRINCIPAL,PARENTESIS_IZQ,PARENTESIS_DER,LLAVES_IZQ,LLAVES_DER,IDENTIFICADOR,RETORNAR,FIN_SENTENCIA,COMA,ASIGNACION,ENTERO,DECIMAL,CARACTER,CADENA,BOLEANO,SI,SINO,MIENTRAS,PARA,SUMA,RESTA,MULTIPLICACION,DIVISION,IGUAL,DIFERENTE,MENOR_QUE,MENOR_IGUAL_QUE,MAYOR_QUE,MAYOR_IGUAL_QUE,DISYUNCION,CONJUNCION,NEGACION,NUMERO_ENTERO,NUMERO_DECIMAL,LITERAL_CADENA,LITERAL_CARACTER,VERDADERO,FALSO,$
llamada_funcion,,,,PARENTESIS_IZQ argumentos PARENTESIS_DER FIN_SENTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creacion_variable,,tipo IDENTIFICADOR creacion_variable_,,,,,,,,,,,tipo IDENTIFICADOR creacion_variable_,tipo IDENTIFICADOR creacion_variable_,tipo IDENTIFICADOR creacion_variable_,tipo IDENTIFICADOR creacion_variable_,tipo IDENTIFICADOR creacion_variable_,,,,,,,,,,,,,,,,,,,,,,,,
creacion_variable_,,,,,,,,,,FIN_SENTENCIA,,ASIGNACION expresion FIN_SENTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asignacion,,,,,,,,,,,,ASIGNACION expresion FIN_SENTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipo,,VACIO,,,,,,,,,,,ENTERO,DECIMAL,CARACTER,CADENA,BOLEANO,,,,,,,,,,,,,,,,,,,,,,,,
estructura_control,,,,,,,,,,,,,,,,,,si,,mientras,para,,,,,,,,,,,,,,,,,,,,
si,,,,,,,,,,,,,,,,,,SI PARENTESIS_IZQ expresion PARENTESIS_DER LLAVES_IZQ declaraciones LLAVES_DER sino,,,,,,,,,,,,,,,,,,,,,,,
sino,,e,,,,,e,e,e,,,,e,e,e,e,e,e,SINO LLAVES_IZQ declaraciones LLAVES_DER,e,e,,,,,,,,,,,,,,,,,,,,
mientras,,,,,,,,,,,,,,,,,,,,MIENTRAS PARENTESIS_IZQ expresion PARENTESIS_DER LLAVES_IZQ declaraciones LLAVES_DER,,,,,,,,,,,,,,,,,,,,,
para,,,,,,,,,,,,,,,,,,,,,PARA PARENTESIS_IZQ asignacion_para FIN_SENTENCIA expresion FIN_SENTENCIA asignacion_para PARENTESIS_DER LLAVES_IZQ declaraciones LLAVES_DER,,,,,,,,,,,,,,,,,,,,
asignacion_para,,tipo IDENTIFICADOR ASIGNACION expresion,,,e,,,IDENTIFICADOR ASIGNACION expresion,,e,,,tipo IDENTIFICADOR ASIGNACION expresion,tipo IDENTIFICADOR ASIGNACION expresion,tipo IDENTIFICADOR ASIGNACION expresion,tipo IDENTIFICADOR ASIGNACION expresion,tipo IDENTIFICADOR ASIGNACION expresion,,,,,,,,,,,,,,,,,,,,,,,,
expresion,,,,termino expresion_,,,,termino expresion_,,,,,,,,,,,,,,,,,,,,,,,,,,termino expresion_,termino expresion_,termino expresion_,termino expresion_,termino expresion_,termino expresion_,termino expresion_,
expresion_,,,,,e,,,,,e,e,,,,,,,,,,,SUMA termino expresion_,RESTA termino expresion_,,,,,,,,,,,,,,,,,,
termino,,,,factor termino_,,,,factor termino_,,,,,,,,,,,,,,,,,,,,,,,,,,factor termino_,factor termino_,factor termino_,factor termino_,factor termino_,factor termino_,factor termino_,
termino_,,,,,e,,,,,e,e,,,,,,,,,,,e,e,MULTIPLICACION factor termino_,DIVISION factor termino_,IGUAL factor termino_,DIFERENTE factor termino_,MENOR_QUE factor termino_,MENOR_IGUAL_QUE factor termino_,MAYOR_QUE factor termino_,MAYOR_IGUAL_QUE factor termino_,DISYUNCION factor termino_,CONJUNCION factor termino_,,,,,,,,
factor,,,,PARENTESIS_IZQ expresion PARENTESIS_DER,,,,IDENTIFICADOR factor_funcion,,,,,,,,,,,,,,,,,,,,,,,,,,NEGACION factor,NUMERO_ENTERO,NUMERO_DECIMAL,LITERAL_CADENA,LITERAL_CARACTER,VERDADERO,FALSO,
factor_funcion,,,,PARENTESIS_IZQ argumentos PARENTESIS_DER,e,,,,,e,e,,,,,,,,,,,e,e,e,e,e,e,e,e,e,e,e,e,,,,,,,,
